Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,TS%,Attend./G,Win%,AST/TOV,PTS/FGA
Philadelphia 76ers,82,242.4,41.7,90.3,0.462,12.3,35.3,0.349,29.4,55.0,0.535,20.1,24.8,0.809,11.8,31.9,43.6,24.6,9.1,5.7,13.6,20.3,115.9,2025-26,25.5,45.0,37.0,-0.18,-0.09,-0.27,115.4,115.5,-0.1,99.4,0.572,18997,0.5487804878048781,1.81,1.28
Orlando Magic,82,241.8,41.0,88.3,0.464,11.7,34.1,0.343,29.3,54.2,0.54,22.0,27.5,0.801,11.0,32.4,43.4,26.5,8.5,4.7,14.2,21.0,115.7,2025-26,24.7,45.0,37.0,0.63,0.17,0.81,114.9,114.3,0.6,100.0,0.576,18462,0.5487804878048781,1.87,1.31
New Orleans Pelicans,82,241.5,42.1,90.5,0.466,11.1,32.1,0.347,31.0,58.4,0.531,20.1,25.7,0.784,12.2,31.7,43.9,25.1,8.9,5.2,14.2,19.9,115.5,2025-26,24.1,26.0,56.0,-4.5,0.24,-4.26,114.4,118.9,-4.5,100.3,0.568,16476,0.3170731707317073,1.77,1.28
Portland Trail Blazers,82,240.9,40.9,90.1,0.453,14.5,42.2,0.343,26.4,47.9,0.551,19.3,25.2,0.765,14.1,31.9,46.0,25.1,8.3,5.5,17.3,19.9,115.5,2025-26,25.2,42.0,40.0,-0.29,0.01,-0.29,114.4,114.7,-0.3,100.5,0.57,16655,0.5121951219512195,1.45,1.28
Houston Rockets,82,242.7,43.0,89.8,0.479,11.5,31.5,0.364,31.5,58.3,0.54,17.8,23.4,0.763,15.0,33.1,48.1,25.4,8.5,5.8,15.4,18.3,115.2,2025-26,26.5,52.0,30.0,5.22,-0.35,4.87,118.6,113.2,5.4,96.1,0.576,18058,0.6341463414634146,1.65,1.28
Boston Celtics,82,240.6,42.1,90.2,0.467,15.5,42.1,0.367,26.7,48.1,0.555,15.1,18.7,0.807,12.5,33.9,46.4,24.6,7.1,5.0,12.4,19.0,114.9,2025-26,26.9,56.0,26.0,7.7,-0.33,7.37,120.8,112.7,8.1,94.8,0.583,19156,0.6829268292682927,1.98,1.27
Memphis Grizzlies,82,240.6,41.3,90.6,0.456,13.9,39.5,0.353,27.4,51.1,0.536,18.0,22.8,0.793,11.2,31.0,42.1,27.8,8.8,4.8,15.1,20.5,114.7,2025-26,24.6,25.0,57.0,-6.01,0.18,-5.83,112.9,118.8,-5.9,101.3,0.57,15339,0.3048780487804878,1.84,1.27
Golden State Warriors,82,241.5,40.9,88.8,0.461,15.7,44.1,0.356,25.3,44.7,0.565,17.0,21.1,0.807,11.4,31.0,42.3,28.9,9.7,4.2,15.7,19.6,114.6,2025-26,28.6,37.0,45.0,-0.56,0.22,-0.34,115.0,115.6,-0.6,99.0,0.584,18064,0.45121951219512196,1.84,1.29
Toronto Raptors,82,241.2,42.6,88.4,0.482,11.4,32.1,0.354,31.3,56.3,0.555,18.0,23.4,0.769,10.9,31.2,42.1,29.5,8.8,4.8,13.7,20.9,114.6,2025-26,24.8,46.0,36.0,2.83,-0.08,2.75,115.9,113.0,2.9,98.4,0.581,18833,0.5609756097560976,2.15,1.3
Dallas Mavericks,82,242.1,41.9,89.8,0.466,11.0,31.9,0.344,30.9,57.9,0.533,19.5,25.8,0.755,10.5,34.2,44.7,25.3,7.5,5.2,14.5,18.4,114.1,2025-26,26.2,26.0,56.0,-5.51,0.18,-5.33,111.2,116.5,-5.3,101.7,0.564,19288,0.3170731707317073,1.74,1.27
Los Angeles Clippers,82,241.2,40.5,83.6,0.484,12.4,33.8,0.368,28.1,49.8,0.564,20.3,24.7,0.823,9.6,31.0,40.6,23.7,9.0,4.9,14.3,18.9,113.8,2025-26,30.0,42.0,40.0,1.13,-0.17,0.96,117.3,116.1,1.2,96.5,0.602,17622,0.5121951219512195,1.66,1.36
Washington Wizards,82,240.9,41.8,90.4,0.463,13.0,36.4,0.359,28.8,54.0,0.533,16.2,21.2,0.766,11.0,30.9,41.9,25.0,8.0,5.5,15.7,21.3,112.9,2025-26,23.5,17.0,65.0,-11.98,0.36,-11.62,111.0,122.7,-11.7,101.4,0.566,16107,0.2073170731707317,1.59,1.25
Phoenix Suns,82,240.9,41.0,90.1,0.455,14.8,40.8,0.361,26.2,49.3,0.533,15.8,20.3,0.781,13.0,30.1,43.1,24.6,9.5,4.2,14.5,20.6,112.6,2025-26,26.8,45.0,37.0,1.46,0.28,1.75,115.4,113.9,1.5,97.2,0.568,16655,0.5487804878048781,1.7,1.25
Indiana Pacers,82,240.9,40.8,89.1,0.458,13.4,37.6,0.356,27.4,51.5,0.533,17.4,22.5,0.776,9.8,32.1,41.9,27.7,7.4,4.6,14.5,20.9,112.4,2025-26,26.1,19.0,63.0,-7.99,0.35,-7.64,110.9,118.8,-7.9,101.0,0.568,16641,0.23170731707317074,1.91,1.26
Sacramento Kings,82,240.9,41.6,89.0,0.467,10.3,30.2,0.34,31.3,58.8,0.532,17.6,22.8,0.772,11.5,30.8,42.3,25.5,8.0,4.5,14.3,19.7,111.0,2025-26,28.3,22.0,60.0,-10.0,0.42,-9.58,111.4,121.5,-10.1,99.2,0.56,16140,0.2682926829268293,1.78,1.25
Milwaukee Bucks,82,240.9,40.8,85.5,0.477,15.1,39.1,0.387,25.7,46.4,0.553,13.9,19.1,0.73,8.9,31.8,40.7,25.8,7.4,4.0,15.2,19.7,110.6,2025-26,27.1,32.0,50.0,-6.21,0.09,-6.12,112.9,119.3,-6.4,97.6,0.589,16650,0.3902439024390244,1.7,1.29
Brooklyn Nets,82,240.9,37.5,84.5,0.443,13.1,38.4,0.34,24.4,46.1,0.528,17.9,23.0,0.78,10.3,29.0,39.3,25.0,8.0,4.3,15.8,21.1,105.9,2025-26,23.5,20.0,62.0,-9.99,0.29,-9.7,108.7,119.0,-10.3,97.1,0.559,17412,0.24390243902439024,1.58,1.25
